Name,Address,Zip Code,State,Phone,Web URL,Email,Type,Style
Windy City Pekiti-Tirsia Kali (3 Locations)," 1214-3 Capitol Dr., Addison",60101,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
Windy City Pekiti-Tirsia Kali (3 Locations),"7004 Huntley Rd., Carpentersville",60110,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
Windy City Pekiti-Tirsia Kali (3 Locations)," 823 Emerson, Evanston",60201,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
Armas De Mano Filipino Arts Academy,"9227 Gulfstream rd, Unit A, Frankfort",60423,Illinois,(708) 646-1006,www.website.com,email@email.com,School,
Parris Martial Arts Academy,"Fort Wayne,",zip,Indiana,555-555-5555,www.website.com,email@email.com,School,
Wetoskey Academy of Martial Arts,"4127-U.S. Hwy. 6, Waterloo",46793,Indiana,260-837-7454,www.wetoskey.com,wetoskey@hotmail.com,School,
Malay Fighting Arts Academy,"Gardner,",zip,Kansas ,913-626-4372,www.pukulan.net,email@email.com,School,
Academy of Martial Arts,"Spring Hill,",zip,Kansas ,555-555-5555,www.theacademyofma.com,Dan@theacademyofma.com,School,
"Smith Martial Arts Center, Hock Hochheim's Pacific Archipelago Combatives System, Mr. Duran Sheets",2987 North Bend Road Hebron,41048,Kentucky,555-555-5555,www.smacfit365.com,sheetd01@gmail.com,School,
"Classic Escrima, Ronald A. Harris, Ph.D., Chief Instructor","244 Arian Lane, Covington, ",70433,Louisiana ,985-249-0801,www.website.com,ruow@yahoo.com,School,Escrima
Nickelstick Balintawak Eskrima,"Baltimore,",zip,Maryland ,443-763-0420,www.website.com,innercourt@gmail.com,School,Eskrima
"Pekiti Tirsia Kali, Victory Martial Arts","6590-5A Old Waterloo Road, Lark Brown Shopping Center, Elkridge",21075,Maryland ,410.799.5566,www.website.com,email@email.com,School,
"Pekiti Tirsia Kali, Tiger Paw","113 Beacon Road, Middle River",21220,Maryland ,555-555-5555,www.website.com,email@email.com,School,
Pekiti Tirsia Kali DC/MD/VA,"Benfield Sports center, 1031 Benfield Blvd., Millersville",21108,Maryland ,443-302-9613,ptk-kdp.com,ptk.kdp@gmail.com,School,Kali
"Lumad Sigbin Kali – FMA, Cebu-Visayan Wedo Corto-Close Quarter Combat","HoneyGo Run Regional Recreation Center, 9033 Honeygo Blvd, Perry Hall",21128,Maryland ,443-825-0259,www.website.com,email@email.com,School,
Pekiti Tirsia Kali DC/MD/VA,"7408 Livingston Rd., Suite 2D (2nd flr), Oxon Hill",20745,Maryland ,443-302-9613,ptk-kdp.com,email@ptk-kdp.com,School,Kali
Anderson-Kali,Plainville,2762,Massachusetts,508-838-0057,www.Anderson-Kali.com,email@email.com,School,
"Attributive Martial Arts, Inc.","697 Princess Dr., Canton",48188,Michigan,(734) 981-1774,www.AttributiveMartialArts.com,amarts@sbcglobal.net,School,
Grand Rapids Kali Club,"401 Hall St. #59 Suite B-148, Grand Rapids",49503,Michigan,616-272-2556,www.grkali.com,email@email.com,School,Kali
Straight Lead Gym,Grand Rapids,zip,Michigan, (616) 589-2288,www.website.com,straightleadgym@gmail.com,School,
K.S.K. Martial Arts,Lansing,zip,Michigan,(517) 853-9856,www.TKENTNELSON.com,tk.martialarts@gmail.com,School,
Modern Arnis Connection,Lansing/East Lansing,zip,Michigan,517-321-4638,www.modernarnisconnection.com,email@email.com,School,Arnis
The Academy Martial Arts and Fitness,"700 S. Poseyville Road, Midland",48640,Michigan,989-631-5960,theacademymartialartsandfitness.webs.com,email@email.com,School,
Northern Martial Arts Academy,"6403 Cedar Run Rd, Traverse City",49684,Michigan,(231) 929-3795,www.website.com,email@email.com,School,
Minnesota Kali Group,"4532 Chicago Ave. S., Minneapolis",55407,Minnesota,612-821-6100,http://www.mnkali.com,email@email.com,School,Kali
Bahad Zubu Midwest Chapter,"655 Fairview Ave N, St Paul",55104,Minnesota,612-567-7727,www.bahadzubu.org / www.vikingcombat.com,email@email.com,School,
"The Warrior Academy, Agila Arnis","2213 west st, Excelsior Springs",64024,Missouri,816-630-9816,www.website.com,robertsmll@yahoo.com,School,Arnis
"CDF Academies of Martial Arts, Kali/JKD Las Vegas Headquarters",Las Vegas,zip,Nevada,1-855 KALIJKD,www.Richardlamoureaux.com,email@email.com,School,
Creative Warrior Academy of Las Vegas,Las Vegas,zip,Nevada,702-302-3926,www.website.com,email@email.com,School,
Doce Pares Multi-Style,Jersey City,7306,New Jersey,555-555-5555,www.Eskrimador.Org,email@email.com,School,
Doce Pares Multi-Style,Livingston,7039,New Jersey,555-555-5555,www.IMAFit.Com,email@email.com,School,
Modern Fighting Concepts,"307 White Horse Pike, Absecon",8201,New Jersey,(609) 646-2113,www.modernfightingconcepts.com,email@email.com,School,
MFA Method of Modern Arnis,Neshanic Station,8852,New Jersey,732-735-6742,arnisfighter@verizon.net,email@email.com,School,Arnis
Takaimine Karate,"1027 Juan Tabo NE, Albuquerque",87111,New Mexico,(505) 294-6302,Takaiminekarate.com,email@email.com,School,
GENERAL FITNESS,"607 B OSUNA, NE, Albuquqerque, ",87113,New Mexico,555-555-5555,www.website.com,email@email.com,School,
Vital Point Martial Arts Academy,"5222 Transit Road, Depew",14043,New York,716.903.6704,http://vitalpointmartialarts.net/,email@email.com,School,
Westchester Martial Arts Academy,"3 Sunnyside Terrace, Eastchester",10709,New York,914-961-1800,www.westchestermartialartsclasses.com,email@email.com,School,
Progressive American Combatives,"150 North Main Street, Fairport",14450,New York,(585) 905-4488,www.pacejj.com,email@email.com,School,
"SIRAT AS-SAYF MORO KALI SYSTEM, Chief Instructor: NAJEE HASSAN","153-01 Jamaica Ave, Suite 501, Jamaica",11432,New York,555-555-5555,www.siratulsaifinternational.com,info@siratulsaifinternational.com,School,KALI
"Amerasian Defensive Arts, Palisutan Arnis","2512 Elmwood Ave., Kenmore",14217,New York,(716) 491-2716,http://www.amerasiandefensivearts.com/,email@email.com,School,Arnis
"Cabales Serrada Escrima New York, Westchester, Long Island and the 5 boros of NYC",Address New York,zip,New York,555-555-5555,www.website.com,CabalesSerradaEscimaNY@gmail.com,School,Escrima
Modern Fighting Arts Academy,"509 Hicksville Rd., Massapequa",11758,New York,(516) 817-4374,www.modernfightingartsacademy.com,email@email.com,School,
Rising Phoenix Martial Arts,"153 Temple Hill Rd., New Windsor",12553,New York,845-784-4359,www.risingphoenixma.org,email@email.com,School,
Kapatiran Mandirigma NYC,Address New York,zip,New York,555-555-5555,www.kapatiran-mandirigma-NYC.com,kombatan.nyc@gmail.com,School,
New York Fight Club school of JKD and Kali,"60 Welcher Ave, Peekskill",10566,New York,555-555-5555,www.balancema.com,email@email.com,School,Kali
MAKTAN Martial Arts,Cincinnati,,Ohio,555-555-5555,www.MAKTAN.com,email@email.com,School,
Silent Warrior Arts,Oklahoma City/ Edmond,,Oklahoma,405-367-9320,www.silentwarriorartsfederation.com,email@email.com,School,
Ryer Martial Arts Academy,"5440 Centre Avenue, Pittsburgh,",15232,Pensilvania,412-621-7937,www.ryeracademy.com,info@ryeracademy.com,School,
Three Rivers Eskrima Concepts,Pittsburgh,,Pensilvania,(724)650-1019,www.inayanpgh.com,TREC.walls@gmail.com,School,Eskrima
Filipino Combative Arts Academy,"33 Shady Lea Rd, North Kingstown",2852,Rhode Island,555-555-5555,www.website.com,email@email.com,School,
"Petronelli's Te Combat Kuntao Ju Jitsu (tm), Soke Richard Petronelli","1117 Douglas Ave, North Providence",2904,Rhode Island,401-474-1155,www.PetronellisJuJitsu.com,PBLavallee@gmail.com,School,
"Petronelli's Te Combat Kuntao Ju Jitsu (tm), Soke Richard Petronelli"," 970 Douglas Pike, Smithfield",2917,Rhode Island, 401-474-1155,www.PetronellisJuJitsu.com,PBLavallee@gmail.com,School,
"Makilas Pekiti Tersia Kali, Gurus Rich and Eddie",Address,zip,state,(561) 342-1327,www.website.com,info@trainkali.com,School,
TAMA Warrior Arts,Address,zip,State,555-555-5555,http://tamawarriorarts.com/,email@email.com,School,
Midwest United Martial Arts,Address,zip,State,555-555-5555,www.MidwestUnitedMartialArts.com,info@midwestunitedmartialarts.com,School,
Malmo Martial Arts,Northwest Arkansas & Memphis,zip,Tennessee,(479) 640-4455,http://malmomartialarts.com,email@aemail.com,School,
"Siete Pares Escrima, The Dojo Martial Arte School","6151 Nw Loop 410, Ste 100, San Antonio",zip,Texas,210-367-1877,www.website.com,email@email.com,School,Escrima
Kali San Antonio,Address,zip,Texas,210-797-0179,www.website.com,marismarsh@netzero.com,School,Kali
Rister International Martial arts,"1119 Luke St. #113, Irving",75061,Texas,(972)-768-2721,www.ristermartialarts.com,email@email.com,School,
"Street Smart Self-Defense Systems, Austin *Kyle/Buda*",New Braunfels,zip,Texas,555-555-5555,http://www.garimottx.com/,email@email.com,School,
"Katipunan Kali Arts, Moro Silat, and Kamay-Hilot",Denton & Garland,zip,Texas,"940-453-0030 
/ 469-471-8286",cebukali.com,cebukali@yahoo.com,School,Kali
Dragon Flower Boxing,"Midland,",zip,Texas,(432) 425-7217,www.website.com,chimatjan@aol.com,School,
Fighting Method University,"3502 Williams Road, Fort Worth",76116,Texas,817-938-8888,http://fightingmethod.com,email@email.com,School,
Wing Chun Kali System,"6982 Farm to Market 1960, Suite F Houston",77096,Texas,281-796-5296,http://wingchunkalisystem.com/,ramon@wingchunkalisystem.com,School,
Hidden Sword Martial Arts,"Roanoke Recreation Center, Roanoke",76262,Texas,555-555-5555,www.website.com,hiddenswordma@yahoo.com,School,
San Angelo Siete Pares,San Angelo,zip,Texas,325-276-1329,Wwww.website.com,email@email.com,School,
"Practical Defense Tactics (PDT), Guro  Mike Keller","P.O.Box 88, Sweetwater",79556,Texas,555-555-5555,www.website.com,mrkeller@suddenlink.net,School,
Warrior's Way,"4020 Rhea Rd Ste 7C, Wichita Falls",76308,Texas,(940) 696-1254,http://warriorswaytx.com,email@email.com,School,
Hawaiian Kali Kempo (Concrete Kali System),Cedar City,84721,Utah,(435) 559-2425,www.website.com,email@email.com,School,Kali
"Lussier Family East YMCA, Inayan System III, Dave Swoboda","711 Cottage Grove Road, Madison",,Wisconsin,608-609-8826,eskrimamadison.wordpress.com / www.ymcadanecounty.org/branches/eastymca.asp,dangle77@yahoo.com,School,
