Name,Address,Zip Code,State,Phone,Web URL,null-Address,Type,Style
"Classic Escrima, Ronald A. Harris, Ph.D. Chief Instructor","1 Birdsnest Court, Mill Valley",94941,California,985-249-0801,null,ruow@yahoo.com,School,Escrima
Combative Martial Arts Systems,"1670 West 162nd St., Gardena ",90247,California,null,null,null,school,
Dakip Diwa Martial Arts,Antioch 94509,null,California,[925] 8487389,null,null,school,
Decuerdas Self Defense Organization,"960 Shortland Circle, Manteca ",95337,California,[209] 6087826,null,null,school,
Delta One Martial Arts (Senkotiros),"3385 Deer Valley Road, Antioch ",94531,California,[925] 7531167,null,null,school,
Doce Pares,"2391 Cashaw Way, Sacramento ",95834,California,[916] 2481802 ,null,null,school,
Doce Pares Multi-Style,Los Angeles,90027,California,null,LADocePares.Com,null@null.com,School,
Doce Pares Multi-Style,Redondo Beach,90277,California,555-55-5555,QuestTKD.Com,null@null.com,School,
Doce Pares Multi-Style,Sacramento,95838,California,null,FMAADocePares.Com,null@null.com,School,
Doce Pares Multi-Style,Sacramento,95828,California,null,DocePares.Net,null@null.com,School,
Doce Pares Multi-Style,"Saratoga,",95070,California,null,Bandalan.Com,null@null.com,School,
Doce Pares Sacramento,"65 Quint Ct. Suite J, Sacramento ",95823,California,[916] 3750745,null,null,school,
Dublin Martial Arts Academy,Dublin ,94568,California,[925] 2360076,null,null,school,
Dublin Martial Arts Academy,Dublin,94568,California,null,www.dublinma.com,null@null.com,School,
East Wind Martial Arts,"1635 G. Street, Merced",95340,California,(209) 723 1358,null,null@null.com,School,
ESKABO Da'an,"1475 Polk St #11, San Francisco ",94109,California,[415] 6744388,null,null,school,
Filipino Martial Arts Academy,"3901 A Pell Circle, Sacramento ",95834,California,null,null,null,school,
Filipino Martial Arts Academy (Doce Pares),"120 Main Ave. Suite C., Sacramento ",95838,California,[916] 8038157,null,null,school,
Filipino Martial Arts Academy (Doce Pares),"120 Main Ave. Suite C., Sacramento ",95838,California,[916] 8038157,null,null,school,
Filipino Tactical Systems,"Mente Linda Loop Park, Milpitas ",95035,California,[909] 4388045,null,null,school,
FILKOMA (Filipino Kombat Martial Arts) ,"833 Brisbane St., Hemet ",92545,California,[858] 4515425,null,null,school,
Gajo Martial Arts,"10890B Thornmint Rd., San Diego ",92127,California,[805] 3768292,null,null,school,
Gonzalez Martial Arts Academy,"1143 W. Fremont St, Stockton ",95203,California,[209] 369 2747,null,null,school,
ILMA/Sanano Arnis Trecehampas,"4681 Mission St., San Frnacisco ",94112,California,null,null,null,school,Arnis
IMB Academy Inc.,"22109 South Vermont Ave., Torrance ",90502,California,[310] 7878793,null,null,school,
Inayan Eskrima Academy,"1350 South Park Victoria, Milpitas/San Jose ",95132,California,[408] 7124244,null,null,school,Eskrima
Inayan Systems International,"PO Box 2112, Paradise, CA. ",95967,California,null,null,null,school,
International Eskrima Serrada Association,"San Francisco, Oakland, Los Angeles ",null,California,[888] 2215462,null,null,school,Eskrima
Island Warriors Balintawak Arnis,"4380 Sonoma Blvd., Vallejo ",94589,California,[707] 4771159,null,null,school,Arnis
Jedokan Martial Arts,"9412 Irondale Ave., Chatsworth ",91311,California,[818] 6455240,null,null,school,
JEDOKAN Martial Arts Academy,"9412 Irondale Avenue, Chatsworth",91311,California,null,www.jedokan.org,jedokan@jedokan.org / jeffjeds@yahoo.com,School,
"Jeet Kune Do Athletics Association, Sifu Harinder Singh Sabharwal",Sunnyvale,null,California,null,www.jkdathletics.com,null@null.com,School,
JKD Self Defense Academy,"1931 Old Middlefield Way, Mountain View ",94043,California,[408] 3730204,null,null,school,
KaJuKenBo Self Defense Institute of Vallejo,"974 Benicia Rd, Vallejo ",94591,California,null,null,null,school,
Kali Method ,1330 N. Monte Vista Ave #2 ,91786,California,[909] 5758809,null,null,school,
KATA Tapado Filipino Long Stick Fighting,"Curtis Park, Sacramento ",95864,California,[916] 718 7639,null,null,school,
Kenshin Kai,"6070 Livingston Ln., Placerville ",95667,California,[808] 5545445,null,null,school,
K-S-E-A Monterey Bay Kali-Silat / Escrima / Arnis Guro David Hines,"P.O. Box 662, Pacific Grove",93950,California,null,Defondo@aol.com,null@null.com,School,"Escrima 
/ Arnis"
Lameco Eskrima,,null,California,[818] 3570440,null,null,school,Eskrima
Latosa - Escrima,"PO Box 651, Winidsor",95492,California,707 843-0640,www.escrima-concepts.com,rzl@comcast.net,School,Escrima
Latosa Weapons System (Latosa Escrima),"PO Box 651, Windsor ",95492,California,[707] 8430640,null,null,school,Eskrima
Liahona Warrior Arts International,"6100 Tremain Dr, Citrus Heights ",95621,California,[916] 7473694 ,null,null,school,
Los Angeles Doce Pares ,Los Angeles ,90031,California,null,null,null,school,
Magda Institute of Martial Arts,"7255 Canby Ave., Reseda ",91335,California,[818] 3422455,null,null,school,
Manglinong Martial Arts,"PO Box 8251, South Lake Tahoe ",96158,California,,null,null,school,
Manglinong Martial Arts,"PO Box 8251, South Lake Tahoe",96158,California,null,null,null@null.com,School,
Marin Self Defense Solutions,"555 Francisco Blvd E, Unit 12, San Rafael ",94901,California,[415] 7554318,null,null,school,
MARPPIO at Solis Martial Arts,"1169 23rd St., San Pablo",null,California,"(415)624-3094 
/ (415)889-9249",http://www.modernarnis.com,drremypresas@modernarnis.com,School,
Martial Arts Development Rogue Eskrima,"108 Old County Rd, Brisbane",94005,California,null,www.martialartsdev.com,null@null.com,School,Eskrima
Martial Arts Training Club,Sacramento ,95824,California,[916] 4219428,null,null,school,
Mata sa Bagyo,Stockton,null,California,[209] 9920832,null,null,school,
Mikita School of Martial Art,"12908 West Washington Blvd., Los Angeles ",90066,California,[310] 7545517,null,null,school,
MiraRada Escrima,"1163 East March Lane, Suite D363, Stockton ",95210,California,[209] 4053189,null,null,school,Escrima
Modern Arnis Remy Presas International Organization (MARPIO),"1169 Market St. Suite 249, San Francisco ",94103,California,[415] 7030434,null,null,school,Arnis
Mt. Diablo Hwa Rang Kwan Tae Kwon Do/Hapkido/Kumdo,"3105 Willow Pass Road, Baypoint, (San Francisco Bay Area)",94565,California,"925-458-1254 
/ 925-980-3018",www.mtdiablohrk.net,mtdiablohwarangkwan@hotmail.com,School,
Mt. Diablo Hwa Rang Kwan/Isidro Modern Arnis,"3105 Willow Pass Rd., Baypoint ",94565,California,[925] 4581254,null,null,school,Arnis
Nor Cal Kabaroan (W.O.R. Ministries),"4383 Oxwood Dr., Sacramento ",95826,California,[916] 8027096,null,null,school,
Oakland Eskrima Club,"4770 San Pablo Ave., Emeryville ",94608,California,[510] 3938928,null,null,school,
OC Kickboxing & Mixed Martial Arts,"18241 W McDurmott, Irvine",92614,California,949-833-8339,ockickboxing.com,null@null.com,School,
Ohana Kenpo Karate & Bandalan Doce Pares (Bandalan Doce Pares Headquarters),"402 3rd St., San Juan Bautista ",95045,California,[408] 3100101,null,null,school,
Original Giron Escrima Federation,Vallejo ,94591,California,[707] 8532477,null,null,school,Escrima
Original Giron Escrima Federation,"974 Benicia Rd., Vallejo",null,California,null,www.originalgironescrima.com,null@null.com,School,Escrima
P.A.M.A.,"P.O. Box 610277, San Jose ",95161,California,[408] 9463200,null,null,school,
Pakamut Eagle Rock Los Angeles,"1840 Yosemite Dr, Los Angeles ",90041,California,null,null,null,school,
Pakamut Flex Services Inc.,"PO Box 65552, Los Angeles ",90065,California,[323] 3508500,null,null,school,
Pekiti Tirsia Kali,"2295 Lincoln Ave, San Jose ",95125,California,[949] 922 – 5583,null,null,school,Kali
Phelan Self Defense,"4647 Jackson Ln, Phelan ",93372,California,[760] 8690840,null,null,school,
PMAA (Hayward Martial Arts),"1024 B St. Suite 1, Hayward ",94541,California,[925] 8647477,null,null,school,
PTKSMF Los Angeles,Los Angeles,null,California,[323] 4128556,null,null,school,
PTK-SMF Los Angeles,Los Angeles,null,California,null,ptksmfla.com,null@null.com,School,
PTKSMF Peninsula,"230 De Anza Blvd., San Mateo ",94402,California,[415] 9396346,null,null,school,
Pulahan Derobio Eskrima,"821 Kuhn Drive, Suite 106, Chula Vista ",91914,California,[619] 8851571,null,null,school,
San Diego Doce Pares,San Diego,null,California,null,null,null,school,
Senkotiros,"13752 Doolittle Drive, San Leandro ",94578,California,[510] 4836560,null,null,school,
Senkotiros Arnis FMA,"P.O. Box 3124, San Leandro",94578,California,(510) 351-6776,null,grandmasterpallen@yahoo.com,School,Arnis
Serrada Escrima ,"P.O. Box 268, French Camp ",95231,California,[209] 2342188,null,null,school,Escrima
SikaranArnis Academy,"Sikaran Bldg. 1122 High St., Delano ",93215,California,[661] 7209175,null,null,school,
Solve et Coagula,"13428 Maxella Ave # 192, Marina Del Rey ",90292,California,[310] 9029673,null,null,school,
South Bay Filipino,"19751 South Figuroa Ave., Carson ",90745,California,[310] 9611266,null,null,school,
South Bay Filipino Martial Arts Club,"15205 Crenshaw, Gardena",null,California,(310) 961-1266,www.website.co,null@null.com,School,
Spirit of Filipino Martial Arts,"833 Brisbane St., Hemet ",92545,California,[909] 4388045,null,null,school,
Sudlud Eskrima,San Jose ,95117,California,[408] 8665127,null,null,school,Eskrima
Tae Kali Do,"1661 Pacific Ave. #18, Oxnard ",93033,California,[805] 2562032,null,null,school,Kali
Tandez Academy of Martial Arts,"1931 Old Middlefield Way, Unit C, Mountain View",94043,California,null,www.jkdkickboxing.com,null@null.com,School,
The Mikita School of Martial Art,"12908 West Washington Blvd., Los Angeles",90066,California,(310) 754-5517,www.fightology.com,null@null.com,School,
Toma's Modern Arnis,"4404 West Victory Blvd., Burbank ",91505,California,[818] 8434984,null,null,school,Arnis
Trampilla Arnis,1551 W. 13th St. Upland,null,California,[909] 2648136,null,null,school,Arnis
Trampilla Arnis,"1551 W. 13th St., Upland",null,California,909-264-8136,null,trampillaarnis@gmail.com,School,Arnis
Trampilla Arnis,Grand Terrace (Inland Empire),null,California,null,null,trampillaarnis@gmail.com,School,Arnis
Typhoon Martial Arts,"4120 Franklin Blvd, Sacramento ",95820,California,[916] 4555155,null,null,school,
Upakan BaraBara Martial Arts Academy,"Fremont, ",94536,California,[510] 8285108,null,null,school,
Urban Defense Tactics,"San Jose, San Jose ",95148,California,[408] 7537539,null,null,school,
VEA Martial Arts Academy,"17978 Ideal Parkway, Manteca",95336,California,209-608-7826,www.veamartialarts.com,null@null.com,School,
Wan Chuan Do Kali Association,"PO Box 1293, Magalia ",95954,California,null,null,null,school,Kali
"Warriors of Righteousness, Kabaroan Eskrima, Serrada Eskrima, Lua O Kaihewalu, Karakenpo Eskrima",Sacramento,null,California,null,kabaroan.com,ebansuelo@hotmail.com,School,Eskrima
Warriors of Visayas Ordiniza Filipino Martial Arts,"2910 Southside Rd., Hollister ",95023,California,[831] 524295,null,null,school,
Waterford Martial Arts Center,"304 F St. Suite C., Waterford ",95386,California,[209] 4092462,null,null,school,
White Tiger Martial Arts Academy,"9525 N. Sommerville Dr. #111, Fresno ",93720,California,[559] 4331200,null,null,school,
Williams Home of Escrima,Tracy ,95304,California,[209] 8352546,null,null,school,Escrima
World Eskrido Federation,"5917 Los Molinos Dr., Buena Park ",90620,California,[714] 9283371,null,null,school,Escrima
Colorado Bahad Zu'bu Eskrima/Kali/Arnis,"14401 E.Bayaud Ave Unit E., Aurora",80011,Colorado,[303] 5478665,null,null,school,Eskrima / Kali / Arnis
Colorado Chinese & Filipino Martial Arts,"21235 E. Grand Dr., Centennial ",80015,Colorado,[303] 2047008,null,null,school,
Defense Institute School of SelfDefense,"845 South Circle Dr., Colorado Springs ",80910,Colorado,[719] 6308373,null,null,school,
Denver Academy of Martial Arts,"4401 S. Tamarac Pkwy, Denver ",80247,Colorado,[303] 7589383 ,null,null,school,
"Kapatiran Mandirigma Colorado, Kombatan Arnis, Kadena Kruzada Eskrima","4103 S. Mason, Ft. Collins, Longmont, Denver",80525,Colorado,null,http://kapatiran-mandirigma.com/,null@null.com,School,"Escrima  
/ Arnis"
Martial works,Boulder ,80304,Colorado,[720] 933 6011,null,null,school,
Nubreed Kali Silat,"935 Sheridan Blvd. #34, Lakewood ",80214,Colorado,[720] 6286803,null,null,school,Kali
Rocky Mountain Kali Group,Colorado Springs ,80903,Colorado,[719] 3046764,null,null,school,
Tabimina Balintawak Central US Chapter,Denver,80121,Colorado,(850) 635-5334,www.TabiminaSystem.com,jpwhsv@gmail.com,School,
Tabimina Balintawak Denver/Central US Chapter,"Central Park, Stapleton,Denver ",80238,Colorado,[850] 6355334,null,null,school,
Becker Wing Chun Kune Tao (Kali Silat Sina Tirsia Wali),"346 Main St.,Danbury ",06810,Connecticut,[203] 7912116,null,null,school,Kali
Cinco Teros Baguio Arnis/Silat (Stamford Center for Martial Arts),"100 Research Drive, 2nd Floor, Stamford",09606,Connecticut,null,www.cincoteros.com,null@null.com,School,"Escrima  
/ Arnis"
Connecticut Modern Arnis Jujitsu,"871F Newfield St., Middletown ",06457,Connecticut,[860] 6328188,null,null,school,Arnis
Cromwell Martial Arts,"871F Newfield St., Middletown ",06457,Connecticut,[860] 6328188,null,null,school,
Karate America,"268 Greenwood Ave., Bethel",06801,Connecticut,203-792-1050,http://www.karateamericabethel.com,null@null.com,School,
Lion Survival Defense System,"194 Bridgeport Ave., Milford ",06460,Connecticut,[203] 5573312,null,null,school,
Practical Self Defense Training Center,"2148 South Main St., Waterbury ",05706,Connecticut,[203] 5969073,null,null,school,
Practical Self Defense Training Center,"847 Hamilton Ave (Rt 69)., Waterbury",06706,Connecticut,203-596-9073,http://www.psdtc.com or http://www.TraditionalFilipinoWeapons.com,info@psdtc.com,School,
Stamford Center for Martial Arts,"100 Research Dr., Stamford ",06906,Connecticut,[203] 5709040,null,null,school,
Swift Waters MMA,"25 Meadow St., Willimantic ",06226,Connecticut,[860] 3197238,null,null,school,
Dauntless Practical Martial Arts,"250 Stadium Street, Suite 100, Smyrna 19977644 Plaza Drive, Newark ",19702,Delaware,[302] 7433115,null,null,school,
Sachetti's Martial Arts," Four Seasons Plaza, Rt. 896, Newark 19702",null,Delaware,[302] 2243057,null,null,school,
Amelia Island Derobio Escrima,"330st 8th St., Fernandina Beach,",32034,Florida,904-556-9397,null,peck.logan@yahoo.com,School,Escrima
American TKA Martial Arts,"8604 State Rd. 84, Davie",33324,Florida,null,null,"e,ail@null.com",School,
Arnis Karate,"1479 Belcher Rd. S, Largo, Florida",null,Florida,[727] 5353574,null,null,school,Arnis
Authentic Jeet Kune Do Academy,"6635 M.L.K. st. N., Saint Petersburg ",33702,Florida,[727] 5772108,null,null,school,
Authentic Jeet Kune Do Academy - Kali/JKD/Silat/PFS/Grappling,Largo,33773,Florida,(727)692-9628,www.AuthenticJKD.net,Authenticjkd@yahoo.com,School,
Central Florida Martial Art Academy,"8319 SW 61st Place, Gainesville ",32608,Florida,[352] 3288526,null,null,school,
Cross Martial Arts Training,"12780 51st Court North, West Palm Beach ",33411,Florida,[561] 5129707,null,null,school,
Cross Martial Arts training,West Palm Beach,null,Florida,561 512-9707,null,null@null.com,School,
CSSD Conceptual Tactical Arnis Presas Arnis,"3665 East Bay Dr. Suite 204233, Largo ",33771,Florida,[727] 3190550,null,null,school,Arnis
East Coast School of Self Defense,"21000 Boca Rio Rd., A20, Boca Raton ",33433,Florida,[561] 2185755,null,null,school,
Filipine Triad Arts Synthesis,"2129 N.E. 4th Ave., Cape Coral ",33909,Florida,[239] 6991993,null,null,school,
Filipino Combat Systems Headquarters,"812 N. Howard Ave., Tampa ",33606,Florida,null,null,null,school,
Filipino Kali Academy,"7352 West Atlantic Blvd., Margate ",33063,Florida,[954] 9730222,null,null,school,Kali
Filipino Kali Academy,2293 NE 164th St. North Miami Beach ,33160,Florida,[305] 9441114,null,null,school,Kali
Garimot Arnis Training (G.A.T ),"852 Saxon Blvd Suite 30, Orange City",null,Florida,[352] 3018229,null,null,school,Arnis
Haastyle Martial Arts Academy,"21000 Boca Rio Rd. Suite A20, Boca Raton ",33433,Florida,[561] 2185755,null,null,school,
Hybrid Martial Arts Academy,"12105 SW 129th Court #103, Miami .",33186,Florida,[786] 3856424,null,null,school,
Jeet Kune Do Institute,"1155 Charles Street, Unit 135, Longwood",32750,Florida,407-831-4243,jkdinstitute.com,sifumotter@jkdinstitute.com,School,
K.M.A. Martial Arts,"1013 Se Hollobrook Ct., Port St. Lucie",34952,Florida,null,www.KalayaanMartialArts.com,null@null.com,School,
Kombat Arts Institute ,"133 Flagship Dr., Lutz ",33549,Florida,[813] 2791940,null,null,school,
Luzviminda Arnis Kali Brotherhood,"5949 Caroline Dr., Wesley Chapel ",33544,Florida,[813] 9731620,null,null,school,Arnis / Kali
Majapai Derobio Arnis 63 Generals,"1897 Island Walk Way, Fernandina Beach ",32034,Florida,[904] 4151733,null,null,school,Arnis
Medina's Asian Fighting Arts,"1897 Island Walk Way, Fernandina Beach",32034,Florida,null,null,eamil@null.com,School,
Miami Arnis Group,"909 Alton Rd., Miami Beach ",33139,Florida,[305] 3010294,null,null,school,Arnis
Miami Arnis Group,Miami,null,Florida,(305)301-0294,www.miamiarnisgroup.com,null@null.com,School,Arnis
Miami STICKFIGHTER Club,"Varied Public Parks, Cutler Bay and Homestead (SW MiamiDade)",null,Florida,null,null,null,school,
Modern American Combatives Academy (LLC),"P.O. Box 653, Jupiter",33468,Florida,561-310-9994,www.modernamericancombatives.com,null@null.com,School,
NATO'S Martial Arts,"14447 Miramar Parkway, Miramar",null,Florida,null,null,null@null.com,School,
Orlando,"4609 W. Ponkan Rd., Apopka ",32712,Florida,null,null,null,school,
Orlando Balintawak Club,"317 E Washington St Unit D., Minneola ",34715,Florida,[850] 3251111,null,null,school,
P. A. E. T. E. (Garimot System USA),"1240 NW 92 Ave., Pembroke Pines ",33024,Florida,[954] 4324433,null,null,school,
Pambuan Arnis of Sarasota,"2203 Pinehurst St., Sarasota ",34231,Florida,[941] 7806013,null,null,school,Arnis
Pambuan Arnis of Sarasota,"2203 Pinehurst St., Sarasota",34231,Florida,(941) 780-6013,http://pambuanarnis.com,sburley9@verizon.net,School,
Philippine Martial Art Society,"Box 210642, Royal Palm Beach ",33421,Florida,[561] 6979162,null,null,school,
Shin Wellness,"4500 Biscayne Blvd., Suite 202, Miami ",33137,Florida,[305] 5719090,null,null,school,
Smileys Combat Athletix,"3600 Peoria Road #202/203, Orange Park ",32065,Florida,[904] 6447571,null,null,school,
Tabimina Balintawak,"South East, Santa Rosa Beach ",32459,Florida,[850] 6355334,null,null,school,
Tampa 33606,,null,Florida,null,null,null,school,
Tampa Kali,"5705 N. Nebraska Ave., Tampa and St. Petersburg ",33604,Florida,[813] 4548743,null,null,school,Kali
Traditional Martial Arts,"2220 Hempel Ave., Gotha ",34734,Florida,[407] 2908049,null,null,school,
"Train4Combat, LLC","7029-11 Commonwealth Ave., Jacksonville",32220,Florida,null,train4combat.com,null@null.com,School,
Unified Martial Art Academy,"12580 SW 88th St., Miami ",33186,Florida,[305] 5952892,null,null,school,
Warrior Arts,"11764 Marco Beach Drive Suite #2, Jacksonville",32224,Florida,904.645.7000,www.WarriorArtsAcademy.com,null@null.com,School,
Warrior Arts Academy,"11764 Marco Beach Drive # 2, Jacksonville ",32224,Florida,[904] 6457000,null,null,school,
World Kali Silat Society,"3950 Ironwood Cr., Bradenton ",34209,Florida,[917] 5355254,null,null,school,Kali
Yaro's Arnis Karate,"1240 S.Highland Ave., Clearwater ",33756,Florida,[727] 6413843,null,null,school,Arnis
AKJ Karate,"3565 GA HWY 20 South, Suite B, Conyers ",30013,Georgia,[770] 8609304,null,null,school,
American Karate Productions,"2241 Idlewood Road, Tucker ",30084,Georgia,[770] 4938970,null,null,school,
Atlanta Filipino Martial Arts,"1284 West Spring Street, Smyrna ",30080,Georgia,[770] 3198662,null,null,school,
Atlanta Martial Arts Club,Roswell ,30076,Georgia,[770] 873 2234,null,null,club,
Battlefield Kali,"4348 Waialae Avenue # 128, Honolulu ",96816,Georgia,null,null,null,school,Kali
DUNGEON BOXING,"11505 Brown Bridge Rd., Covington",30016,Georgia,770-788-0680,www.galiusmartialarts.com,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
Fayette Academy of Martial Arts,"931 Glynn St., Fayetteville ",30214,Georgia,null,null,null,school,
Garimot Arnis Training of Georgia,"39 Smith St Suite B, Fairburn",null,Georgia,(770) 284-1428,http://garimot.com/,null@null.com,School,Arnis
INDEPENDENT MMA,"235 McDonough Pkwy, McDonough",30253,Georgia,(678) 432-9005,www.galiusmartialarts.com,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
J.P. Moseley Recreation Center,"1041 Millers Mill Road, Stockbridge",30281,Georgia,(770) 288-7311,www.galiusmartialarts.com,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
Living Waters Martial Arts,"4075 Macland Road, Powder Springs",30127,Georgia,770.314.0840,www.livingwatersma.com,null@null.com,School,
Locust Grove Karate,"91 Pine Grove Rd, Locust Grove",30248,Georgia,(678) 561-4099,www.galiusmartialarts.com,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
Medina's Asian Fighting Arts,"100 W Church St, St. Mary's",31558,Georgia,null,null,null@null.com,School,
"VAGABOND MARTIAL ARTS SOCIETY, Georgia-USA (@ DUNGEON BOXING gym)","11505 Brown Bridge Rd., Covington",30016,Georgia,770-788-0680,http://www.freewebs.com/vagabondarts/,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
"VAGABOND MARTIAL ARTS SOCIETY, Georgia-USA (@ J.P. Moseley Recreation Center)","1041 Millers Mill Road, Stockbridge",30281,Georgia,(770) 288-7311,http://www.freewebs.com/vagabondarts/,ilacgalius@yahoo.com / galiusmartialarts@gmail.com,School,
Bandalan Doce Pares,Honolulu,null,Hawaii,[808] 8641620 ,null,null,school,
Battlefield Kali,"4348 Waialae Avenue # 128, Honolulu ",96816,Hawaii,[808] 8641620,null,null,school,
Delmar School Fil/Mar/Arts,"87126 Kulahanai PL., Waianae ",96792,Hawaii,[808] 2242551,null,null,school,
Fonseca KenpoJujitsu,"911081 Kahalepouli St., Kapolei ",96707,Hawaii,[808] 7232792,null,null,school,
General Ablen's School of Derobio Escrima,"1519 Kalaepa'a Dr., Honolulu ",96817,Hawaii,[808] 6209056,null,null,school,Escrima
Integrated Training Concepts,"P.O. Box 12104, Lahaina ",96761,Hawaii,[808] 7813302,null,null,school,
Molokai Martial Arts,"PO Box 1715, Kaunakakai ",96748,Hawaii,[808] 2163211,null,null,school,
Ola'aNalo Eskrima,"Old Stadium Park, Honolulu",null,Hawaii,[808] 2645212,null,null,school,Eskrima
Ola'a-nalo Eskrima Jungle Style,Waimanalo,null,Hawaii,null,www.olaa-naloeskrima.com,null@null.com,School,Eskrima
Pacific Eskrima Academy (Tacosa Cadena Eskrima),"P.O. Box 2212 Kea'au, Hilo ",96749,Hawaii,null,null,null,school,Eskrima
Pedoy's School of Escrima,"94529 Uke`e St. #103, Waipahu ",96797,Hawaii,[209] 3213586,null,null,school,Escrima
Protect Yourself Academy Martial Arts,"Honolulu,",null,Hawaii,(702) 340-3308,http://ProtectYourselfAcademy.com / http://facebook.com/protectyourselfacademy,null@null.com,School,
The Fighting Edge,Honolulu ,96818,Hawaii,[808] 3360936,null,null,school,
Idaho Heartland School of Eskrima & Self Defense,"31149 N. Hayden Dr., Spirit Lake ",null,Idaho,null,null,null,school,Escrima
Amalgam Martial Academy,"456 W. 75th St., Downers Grove ",60516,Illinois,[331] 7775236,null,null,school,
